Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Chaine,Abonnes,Id
2021-02-28,true,Entertainment,-1,PYRORCA - SON DROIT DE RÉPONSE A LA VIDÉO DE MAX EST LA,https://www.youtube.com/watch?v=MgpOf1udE00,488857,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=i6RIXphF96Y', 'https://www.youtube.com/watch?v=EjqOctRGB7w']",Psyhodelik,-1,https://www.youtube.com/watch?v=MgpOf1udE00
2021-06-13,true,Entertainment,-1,TRANQUILLE PYRORCA ?,https://www.youtube.com/watch?v=EjqOctRGB7w,269751,"['https://www.youtube.com/watch?v=Fvsp0j4XAJU', 'https://www.youtube.com/watch?v=MgpOf1udE00', 'https://www.youtube.com/watch?v=F3RiPnP9eSY']",Psyhodelik,-1,https://www.youtube.com/watch?v=EjqOctRGB7w
2022-05-24,true,Entertainment,389,BLACK LIVES MATTER VERSE 1 MILLIONS DE $ POUR LE BÉBÉ DU CO-FONFONDATEUR DE BLACK LIVES MATTER,https://www.youtube.com/watch?v=MJON4rrjmHk,36655,"['https://www.youtube.com/watch?v=KoKJ-BOFVRY', 'https://www.youtube.com/watch?v=bjfXyQnfuJ4', 'https://www.youtube.com/watch?v=LnN_uMjn5sE']",Psyhodelik,-1,https://www.youtube.com/watch?v=MJON4rrjmHk
2022-06-01,true,News & Politics,730,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Meeting de la Nouvelle Union Populaire Écologique et Sociale à Paris - </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/nupesparis"" dir=""auto"">#NupesParis</a>",https://www.youtube.com/watch?v=97HEOMSHl_I,129967,"['https://www.youtube.com/watch?v=b2c7zbKoows', 'https://www.youtube.com/watch?v=zyieU8S8kwY', 'https://www.youtube.com/watch?v=Hs5o4MHuZKg']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=97HEOMSHl_I
2019-11-25,true,Education,0,La bande dessinée entre la presse et le livre (1/2) - De Töpffer à Bécassine,https://www.youtube.com/watch?v=i6RIXphF96Y,404,"['https://www.youtube.com/watch?v=j1ONgQzVdbc', 'https://www.youtube.com/watch?v=4kwdK5cOsXg', 'https://www.youtube.com/watch?v=fOA24Z8p6Z0']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=i6RIXphF96Y
2022-05-17,true,Education,155,Qui étaient vraiment les révolutionnaires ? - Entretien avec Olivier Coquard,https://www.youtube.com/watch?v=Fvsp0j4XAJU,69081,"['https://www.youtube.com/watch?v=mdH-y2PAGOU', 'https://www.youtube.com/watch?v=zyA1BbE1Uw8', 'https://www.youtube.com/watch?v=qOSTv6ovcW0']",Nota Bonus,-1,https://www.youtube.com/watch?v=Fvsp0j4XAJU
2022-06-03,true,News & Politics,-1,Macron veut détruire notre système scolaire,https://www.youtube.com/watch?v=b2c7zbKoows,79067,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=Gwougz56s-s', 'https://www.youtube.com/watch?v=FMYcAUb_JNE']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=b2c7zbKoows
2022-06-02,true,People & Blogs,-1,"Double victoire pour des soignants non vaccinés, leur avocat, Maître Tarek Koraïtem, s'explique",https://www.youtube.com/watch?v=c_4Ey8T_jeE,277177,"['https://www.youtube.com/watch?v=Auw_J4BZ-ns', 'https://www.youtube.com/watch?v=GESBkTA2Faw', 'https://www.youtube.com/watch?v=H2UzktwofJI']",Sud Radio,-1,https://www.youtube.com/watch?v=c_4Ey8T_jeE
2022-02-15,true,News & Politics,-1,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Conférence de Jean-Luc Mélenchon à la Sorbonne - </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/melenchonsorbonne"" dir=""auto"">#MelenchonSorbonne</a>",https://www.youtube.com/watch?v=sT6qeNbmHB8,497649,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=QOYYJdzFw0I', 'https://www.youtube.com/watch?v=vOXTryecScA']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=sT6qeNbmHB8
2022-05-31,true,News & Politics,245,"À l'air libre (252) : Affaire Damien Abad, Margaux et Chloé prennent la parole",https://www.youtube.com/watch?v=oCrHtasllZI,64785,"['https://www.youtube.com/watch?v=DwMLP7kaArM', 'https://www.youtube.com/watch?v=HUf8ySs_4WU', 'https://www.youtube.com/watch?v=cnsKNvDplFo']",Mediapart,-1,https://www.youtube.com/watch?v=oCrHtasllZI
